Evolution optimization 'diffrot full p50 s25 y171' started
Gen 33 best: [BPL: 1.070648, BPH: 89.734985, L2: 10.451367, +BP: 0.546980, +HANN: -0.837184, WSIZE: 301.053010, INTERP: -0.587202] (Obj: 0.012470)
Gen 34 best: [BPL: 0.883454, BPH: -40.645716, L2: 11.067900, +BP: 0.566034, +HANN: -0.657363, WSIZE: 294.382770, INTERP: -0.457727] (Obj: 0.012349)
Gen 35 best: [BPL: 0.883454, BPH: -40.645716, L2: 11.067900, +BP: 0.566034, +HANN: -0.657363, WSIZE: 294.382770, INTERP: -0.457727] (Obj: 0.012349)
Gen 36 best: [BPL: 0.883454, BPH: -40.645716, L2: 11.067900, +BP: 0.566034, +HANN: -0.657363, WSIZE: 294.382770, INTERP: -0.457727] (Obj: 0.012349)
Gen 37 best: [BPL: 0.883454, BPH: -40.645716, L2: 11.067900, +BP: 0.566034, +HANN: -0.657363, WSIZE: 294.382770, INTERP: -0.457727] (Obj: 0.012349)
Gen 38 best: [BPL: 0.947342, BPH: -337.791900, L2: 10.808935, +BP: 0.295358, +HANN: -0.758711, WSIZE: 321.860261, INTERP: -0.310418] (Obj: 0.011894)
Gen 39 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Gen 40 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Gen 41 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Gen 42 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Gen 43 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Gen 44 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Gen 45 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Gen 46 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Gen 47 best: [BPL: 0.909780, BPH: -329.140456, L2: 11.621813, +BP: 0.804143, +HANN: -0.492412, WSIZE: 294.185027, INTERP: -0.605665] (Obj: 0.011889)
Evolution optimization 'diffrot full p50 s25 y171' ended

