frame,total_tokens,word_tokens,phn_tokens,model_tokens,wb_tokens,nosym_tokens
0,0,0,0,0,0,0
1,2,0,0,1,0,1
2,196,0,12,56,1,127
3,131,0,0,14,0,117
4,135,0,0,18,0,117
5,159,0,5,31,1,122
6,181,0,9,45,1,126
7,239,0,9,103,1,126
8,501,0,6,371,1,123
9,165,0,6,35,1,123
10,774,0,6,644,1,123
11,1021,0,6,891,1,123
12,548,0,6,418,1,123
13,548,0,9,414,1,124
14,668,0,9,534,1,124
15,627,0,9,492,1,125
16,212,0,16,62,1,133
17,242,6,24,64,2,146
18,374,20,41,87,5,221
19,1296,20,62,384,11,819
20,3022,53,223,1106,17,1623
21,6338,138,467,2203,28,3502
22,6767,83,212,4430,20,2022
23,1571,35,71,451,15,999
24,1163,22,32,370,7,732
25,909,46,81,93,10,679
26,1284,44,78,443,6,713
27,3751,139,381,991,18,2222
28,4828,104,265,1618,20,2821
29,5668,133,356,2039,19,3121
30,8096,360,511,3491,22,3712
31,10373,569,758,4549,23,4474
32,16706,1089,1050,7956,33,6578
33,13812,752,867,6616,28,5549
34,7657,346,452,3308,22,3529
35,4520,199,206,2064,18,2033
36,3081,189,191,1100,17,1584
37,3863,182,189,1858,15,1619
38,4674,164,182,2544,13,1771
39,3417,73,81,2416,12,835
40,1518,20,19,1158,7,314
41,532,4,12,327,4,185
42,158,10,1,21,2,124
43,194,18,8,6,3,159
44,412,43,30,7,8,324
45,522,39,30,24,7,422
46,338,21,18,11,4,284
47,209,18,10,5,1,175
48,224,19,12,8,2,183
49,297,27,16,11,4,239
50,564,57,47,28,8,424
51,678,33,42,105,8,490
52,2318,99,185,601,12,1421
53,5274,288,438,1493,19,3036
54,4440,275,415,1125,18,2607
55,2827,164,271,967,13,1412
56,3589,233,315,1264,11,1766
57,3366,191,285,1182,11,1697
58,4313,100,155,3049,11,998
59,1181,60,61,520,7,533
60,1439,80,39,815,7,498
61,1836,145,143,832,10,706
62,3620,167,163,2288,11,991
63,4309,176,181,3129,10,813
64,5386,316,380,2814,10,1866
65,9962,569,689,4758,14,3932
66,3291,164,194,1279,10,1644
67,2497,99,112,1597,10,679
68,814,77,92,254,7,384
69,1458,116,115,485,9,733
70,910,44,51,424,3,388
71,731,22,62,292,4,351
72,1817,104,132,610,11,960
73,4026,260,384,1386,11,1985
74,4991,358,455,1618,15,2545
75,3917,194,270,1576,11,1866
76,2398,107,179,1037,10,1065
77,1597,89,103,484,9,912
78,1638,69,83,578,9,899
79,3686,172,232,1411,12,1859
80,7612,489,607,2922,16,3578
81,9821,463,638,5071,18,3631
82,7975,531,601,3250,16,3577
83,6306,526,575,2143,12,3050
84,6849,352,399,4053,10,2035
85,2634,147,141,1456,10,880
86,2258,157,119,1138,10,834
87,2564,133,84,1559,10,778
88,2344,63,59,1788,10,424
89,1026,14,24,741,7,240
90,946,17,23,659,4,243
91,641,39,37,219,8,338
92,2588,65,48,1863,10,602
93,1403,63,65,329,10,936
94,2218,70,86,1024,10,1028
95,3589,81,59,2163,10,1276
96,6743,167,119,4487,10,1960
97,8701,222,185,6402,10,1882
98,4796,314,350,1687,12,2433
99,8070,381,588,3680,18,3403
100,8789,321,581,4058,21,3808
101,8626,341,582,4090,23,3590
102,7967,385,610,3279,31,3662
103,4788,222,313,1764,28,2461
104,1794,55,48,558,15,1118
105,812,24,19,118,7,644
106,1666,79,64,481,9,1033
107,3491,234,218,1273,13,1753
108,2079,136,71,1141,10,721
109,2603,278,168,1586,10,561
110,5056,606,551,2188,11,1700
111,6522,468,644,3068,16,2326
112,2719,127,185,1476,11,920
113,1382,94,137,668,10,473
114,1993,134,193,1032,11,623
115,2906,92,222,1791,12,789
116,2348,51,142,1205,12,938
117,2066,28,64,1428,9,537
118,1234,28,54,517,9,626
119,1802,58,116,362,10,1256
120,3824,80,128,1763,11,1842
121,2006,33,44,702,10,1217
122,1393,15,33,661,9,675
123,935,18,18,315,7,577
124,1091,49,25,92,9,916
125,1800,66,37,748,10,939
126,2240,115,142,509,11,1463
127,3461,176,196,1102,12,1975
128,4497,213,224,1929,11,2120
129,12227,211,230,9479,12,2295
130,5680,233,283,2584,13,2567
131,10052,97,106,8616,12,1221
132,2283,76,52,1348,16,791
133,882,62,7,175,11,627
134,1605,138,106,566,15,780
135,8739,450,849,4182,28,3230
136,15201,644,1348,7576,44,5589
137,10806,345,810,5319,26,4306
138,11819,423,874,5897,29,4596
139,10378,469,692,5078,23,4116
140,8131,280,394,5231,24,2202
141,7838,462,606,4408,25,2337
142,9044,567,910,4517,27,3023
143,15016,869,1371,6952,33,5791
144,14805,751,1316,6194,44,6500
145,14517,582,1080,7303,37,5515
146,12774,593,873,6185,34,5089
147,8950,442,674,3734,30,4070
148,7859,249,515,3976,21,3098
149,4845,169,292,1909,14,2461
150,3513,85,171,1442,10,1805
151,3240,34,44,2016,10,1136
152,1117,36,18,170,10,883
153,778,34,0,90,7,647
154,726,34,0,72,1,619
155,1125,34,0,486,0,605
156,725,34,0,60,1,630
157,752,36,0,20,1,695
158,810,34,0,144,1,631
159,2191,34,0,1539,1,617
160,731,34,0,60,1,636
161,738,35,0,20,1,682
162,854,35,0,143,1,675
163,2441,36,0,1713,1,691
164,756,34,0,60,1,661
165,705,34,0,20,1,650
166,841,34,0,178,1,628
167,2147,35,0,1479,1,632
168,736,34,0,60,1,641
169,758,35,0,20,1,702
170,1164,69,28,143,4,920
171,4319,57,43,3162,8,1049
172,6941,172,262,4194,14,2299
173,9701,286,461,4990,18,3946
174,2940,67,118,1338,11,1406
175,3916,62,142,2578,8,1126
176,3432,126,145,1436,18,1707
177,4513,168,144,2545,19,1637
178,3799,133,78,2697,16,875
179,3577,233,234,2100,17,993
180,3569,222,286,2087,17,957
181,2021,49,94,1747,10,121
182,651,30,48,402,8,163
183,713,41,60,215,6,391
184,871,48,56,146,7,614
185,1346,58,63,483,10,732
186,3749,197,196,1578,11,1767
187,4964,238,132,2815,12,1767
188,6305,574,479,2537,12,2703
189,3034,114,105,1441,14,1360
190,931,49,41,273,8,560
191,872,45,44,307,8,468
192,452,31,51,75,7,288
193,714,54,58,152,9,441
194,1138,98,152,370,11,507
195,1649,123,143,616,11,756
196,1618,126,176,642,11,663
197,2781,124,387,1103,11,1156
198,8877,338,962,3685,20,3872
199,9467,234,807,3547,23,4856
200,10715,434,951,4202,22,5106
201,12810,379,865,7128,16,4422
202,9276,218,471,5606,10,2971
203,6978,184,341,3788,10,2655
204,2961,110,116,1195,10,1530
205,1519,80,74,861,5,499
206,1560,44,150,780,10,576
207,2011,100,204,516,10,1181
208,2759,182,305,1041,10,1221
209,4785,261,330,1843,12,2339
210,7982,309,374,4466,12,2821
211,12738,614,1054,6054,20,4996
212,22367,973,1448,11940,45,7961
213,22309,926,1269,12472,40,7602
214,18289,614,727,11365,21,5562
215,6727,282,318,2661,16,3450
216,8588,566,472,3223,19,4308
217,13620,902,937,6733,19,5029
218,5094,154,347,2981,11,1601
219,4311,194,325,1558,18,2216
220,6404,352,521,2428,18,3085
221,6068,369,457,2294,20,2928
222,9633,475,541,5230,16,3371
223,5446,182,269,2984,10,2001
224,3981,192,273,1464,12,2040
225,4565,283,356,1448,14,2464
226,5982,429,480,2032,15,3026
227,6102,225,385,2391,18,3083
228,3663,98,222,1179,12,2152
229,5733,220,374,2563,14,2562
230,6459,239,307,3677,15,2221
231,4525,199,276,2512,12,1526
232,2225,98,144,1060,11,912
233,1628,71,153,687,11,706
234,2111,69,185,816,10,1031
235,5172,193,335,2141,16,2487
236,2580,132,227,867,15,1339
237,2331,83,152,1043,11,1042
238,3603,109,131,1943,11,1409
239,6119,398,279,3292,13,2137
240,8870,631,489,4644,15,3091
241,6770,379,250,3885,10,2246
242,9505,679,557,4705,19,3545
243,10421,179,185,8541,13,1503
244,4531,189,231,2651,19,1441
245,1922,74,122,921,14,791
246,1848,34,77,1396,6,335
247,1207,25,88,858,8,228
248,353,39,60,197,4,53
249,414,54,60,172,5,123
250,420,69,47,168,8,128
251,806,125,102,211,12,356
252,2413,141,217,821,13,1221
253,3168,72,189,1482,13,1412
254,1445,36,54,333,12,1010
255,1233,27,35,473,10,688
256,1053,28,15,486,6,518
257,726,43,17,185,8,473
258,2121,28,7,1741,3,342
259,303,26,0,13,1,263
260,388,26,0,62,1,299
261,358,26,0,61,1,270
262,412,27,1,59,1,324
263,385,28,0,35,1,321
264,401,26,0,70,1,304
265,1562,26,0,1245,1,290
266,374,26,0,59,1,288
267,394,26,0,59,1,308
268,395,26,0,69,1,299
269,1247,26,0,990,0,231
270,301,26,0,9,1,265
271,374,29,0,58,2,285
