frame,total_tokens,word_tokens,phn_tokens,model_tokens,wb_tokens,nosym_tokens
0,0,0,0,0,0,0
1,2,0,0,1,0,1
2,273,3,84,56,21,109
3,489,0,86,14,33,356
4,311,0,74,18,22,197
5,469,0,86,31,29,323
6,596,6,98,51,43,398
7,644,6,102,51,47,438
8,645,6,96,83,44,416
9,1001,6,95,463,43,394
10,693,6,95,160,43,389
11,1627,6,95,1087,43,396
12,624,6,95,83,43,397
13,1284,6,99,726,44,409
14,722,6,99,159,44,414
15,1679,7,101,1098,46,427
16,1975,12,117,1279,64,503
17,1137,17,184,180,80,676
18,1915,40,230,805,99,741
19,2635,36,470,737,175,1217
20,7042,102,885,3313,315,2427
21,10445,240,1226,4781,466,3732
22,12785,107,893,8828,380,2577
23,2930,41,490,450,211,1738
24,2487,27,329,779,132,1220
25,1978,57,367,374,136,1044
26,2337,66,432,653,156,1030
27,4004,209,582,1034,235,1944
28,7576,544,1042,2367,437,3186
29,7843,281,896,3204,418,3044
30,6710,327,866,2572,424,2521
31,9925,554,908,4566,458,3439
32,13175,1130,1105,6219,530,4191
33,13116,1007,1231,6301,535,4042
34,12410,881,1159,5816,531,4023
35,7653,468,854,3057,423,2851
36,6717,342,760,2716,313,2586
37,6289,323,777,2401,324,2464
38,6314,260,782,2335,381,2556
39,6000,115,536,3225,281,1843
40,4675,30,335,2983,185,1142
41,730,10,130,191,65,334
42,999,15,79,708,36,161
43,611,26,96,14,48,427
44,1344,57,220,70,97,900
45,1989,75,290,314,154,1156
46,2402,41,280,768,129,1184
47,2795,26,152,1782,85,750
48,946,28,123,177,60,558
49,1850,43,190,752,86,779
50,1952,126,254,462,108,1002
51,3218,81,369,1386,184,1198
52,6284,242,835,2266,375,2566
53,9794,385,962,4692,484,3271
54,12528,377,1116,7316,503,3216
55,7256,181,826,3556,364,2329
56,5718,265,897,1754,343,2459
57,5357,205,749,1676,328,2399
58,3621,109,502,1005,281,1724
59,4448,62,270,3057,165,894
60,3018,85,251,1595,138,949
61,3277,149,461,979,186,1502
62,4289,168,484,1664,228,1745
63,6309,178,412,4414,149,1156
64,7976,316,773,4604,202,2081
65,8776,557,1374,2748,268,3829
66,5723,166,558,2959,203,1837
67,3365,103,335,1881,117,929
68,2396,82,210,1499,71,534
69,2874,141,410,1078,172,1073
70,2461,57,340,1088,187,789
71,2614,26,357,948,199,1084
72,5460,133,733,2140,338,2116
73,5776,261,892,1606,407,2610
74,3964,169,529,1144,306,1816
75,3520,103,413,1635,206,1163
76,3315,215,482,1024,204,1390
77,2880,211,433,853,161,1222
78,1953,85,260,427,112,1069
79,2592,63,186,1015,98,1230
80,3990,192,355,1292,153,1998
81,9644,988,813,4468,270,3105
82,12482,760,860,7395,380,3087
83,10853,856,922,5587,381,3107
84,6927,583,796,2515,364,2669
85,6293,414,677,2590,346,2266
86,9583,365,780,5584,390,2464
87,8171,472,1099,2600,479,3521
88,9509,421,1131,3543,482,3932
89,11857,332,1077,5784,463,4201
90,9822,392,1085,3386,473,4486
91,12145,583,1254,4804,500,5004
92,9886,568,971,3227,456,4664
93,9910,491,914,4087,364,4054
94,9164,454,887,3591,372,3860
95,12748,495,949,6952,365,3987
96,17708,834,1238,10156,402,5078
97,18765,988,1223,11236,429,4889
98,20985,1224,1582,12298,443,5438
99,24705,1380,2014,14594,476,6241
100,30986,1240,1980,20841,502,6423
101,15908,909,1523,7885,464,5127
102,10737,713,1031,4114,402,4477
103,8751,335,777,3894,297,3448
104,3488,76,388,743,162,2119
105,2413,26,38,1636,34,679
106,1400,22,65,603,37,673
107,3794,361,379,912,117,2025
108,5421,315,251,3334,106,1415
109,3423,374,181,2089,73,706
110,4520,700,620,1655,125,1420
111,5235,633,673,1949,203,1777
112,4231,225,465,2341,178,1022
113,1802,150,312,648,105,587
114,2096,168,334,711,111,772
115,2838,127,419,1225,129,938
116,2205,86,337,653,150,979
117,2131,28,227,1170,103,603
118,1595,25,214,635,111,610
119,2534,67,412,830,168,1057
120,4725,104,529,1861,239,1992
121,5647,41,404,3401,202,1599
122,1445,18,266,222,124,815
123,1038,18,103,452,47,418
124,2219,36,147,1023,81,932
125,2155,63,253,537,109,1193
126,5125,190,574,2141,242,1978
127,5879,151,574,2626,294,2234
128,8202,279,843,3919,353,2808
129,11185,230,853,6737,380,2985
130,9395,254,1015,4508,400,3218
131,6580,85,515,3829,242,1909
132,4222,114,353,2154,160,1441
133,2995,132,297,1105,153,1308
134,3311,155,379,1014,160,1603
135,5239,296,652,1756,262,2273
136,8584,222,701,4854,298,2509
137,5408,117,541,2451,266,2033
138,5618,194,601,1997,285,2541
139,5523,247,609,1799,305,2563
140,5543,257,370,3119,198,1599
141,3976,370,417,1342,224,1623
142,8213,781,803,4106,270,2253
143,9746,912,1183,4280,361,3010
144,10511,475,753,6725,302,2256
145,4946,323,679,2003,222,1719
146,6982,355,800,3427,229,2171
147,9847,496,921,5089,318,3023
148,9305,353,850,5033,313,2756
149,8622,366,741,4359,349,2807
150,6189,186,536,2959,255,2253
151,4439,70,333,1997,201,1838
152,2932,43,170,1122,109,1488
153,1748,31,104,705,66,842
154,883,31,90,57,41,664
155,1185,31,90,376,41,647
156,1127,31,93,272,44,687
157,987,36,99,25,52,775
158,979,31,100,53,53,742
159,1154,31,93,297,44,689
160,1049,31,93,179,44,702
161,2439,32,98,1488,50,771
162,1003,32,101,24,59,787
163,1058,34,101,60,59,804
164,1301,31,101,329,59,781
165,1099,31,97,177,51,743
166,1880,31,94,1003,45,707
167,1063,31,93,194,44,701
168,2221,33,95,1327,46,720
169,1049,33,102,57,59,798
170,1903,75,226,340,83,1179
171,3770,69,285,1818,128,1470
172,8210,262,958,3328,361,3301
173,15103,457,1349,7923,512,4862
174,8058,79,596,4687,327,2369
175,5343,60,502,2529,234,2018
176,4796,126,558,1243,254,2615
177,5231,199,525,1744,270,2493
178,5151,168,322,2990,156,1515
179,4978,309,514,2362,197,1596
180,5466,298,575,2962,190,1441
181,3083,69,110,2711,22,171
182,567,41,85,228,28,185
183,1346,59,261,373,77,576
184,2811,72,317,1005,125,1292
185,3717,107,369,1215,164,1862
186,4075,164,444,1223,221,2023
187,5041,261,511,1806,293,2170
188,6615,261,635,3175,320,2224
189,4514,112,654,1170,325,2253
190,1826,44,152,702,82,846
191,1017,58,153,204,54,548
192,2501,105,446,548,157,1245
193,4525,150,960,985,323,2107
194,6652,196,992,2120,454,2890
195,8030,308,941,3569,466,2746
196,6432,411,924,2093,440,2564
197,8337,557,980,3621,406,2773
198,9621,755,1446,3626,474,3320
199,10466,665,1380,3946,483,3992
200,12041,365,1075,6321,435,3845
201,17214,1465,1619,8182,579,5369
202,17910,929,1412,10460,548,4561
203,8629,370,730,4102,345,3082
204,8010,295,418,4631,233,2433
205,2064,168,182,1027,77,610
206,2022,105,180,1311,46,380
207,1888,146,223,646,64,809
208,3045,232,495,928,127,1263
209,9652,302,894,5906,274,2276
210,7986,410,1071,2775,365,3365
211,9315,410,1140,3442,412,3911
212,16361,859,1590,7929,563,5420
213,22357,1247,1793,12612,637,6068
214,16684,836,1543,8512,567,5226
215,12127,434,915,6193,405,4180
216,8526,479,785,3184,324,3754
217,6727,288,494,3012,224,2709
218,2161,50,143,1089,70,809
219,4117,294,601,1024,189,2009
220,7860,536,1009,2788,352,3175
221,10635,603,1061,5009,403,3559
222,10116,626,1305,3780,450,3955
223,11645,220,867,7514,327,2717
224,4698,191,760,964,203,2580
225,5810,329,864,1443,213,2961
226,8514,481,1134,2837,336,3726
227,8705,334,1289,3017,396,3669
228,5623,87,780,1973,335,2448
229,8510,241,1080,3480,448,3261
230,9637,260,998,4830,432,3117
231,7568,227,864,3677,372,2428
232,3552,109,522,1167,284,1470
233,4012,81,572,1894,288,1177
234,5268,101,637,2496,324,1710
235,7939,245,1052,3140,447,3055
236,5200,174,780,1583,353,2310
237,3418,141,492,810,246,1729
238,4602,211,566,1640,270,1915
239,9208,843,1084,3696,429,3156
240,14613,1201,1404,7461,504,4043
241,9580,694,971,4303,402,3210
242,14693,1168,1402,7425,529,4169
243,17720,274,634,13912,288,2612
244,4238,278,599,985,217,2159
245,1611,99,241,445,85,741
246,1037,47,129,454,55,352
247,1385,51,164,963,40,167
248,971,49,93,746,12,71
249,634,60,166,250,49,109
250,705,74,184,232,55,160
251,1767,156,311,409,172,719
252,4592,219,684,1439,304,1946
253,5839,100,720,1903,383,2733
254,9396,43,594,5976,410,2373
255,6383,33,522,3386,329,2113
256,4276,39,248,2286,147,1556
257,2403,53,253,702,118,1277
258,2038,37,207,736,98,960
259,1337,26,98,544,50,619
260,765,26,93,48,45,553
261,1164,25,93,440,44,562
262,847,27,96,48,47,629
263,1169,28,103,294,62,682
264,860,26,95,71,47,621
265,1366,26,93,621,45,581
266,786,26,93,48,45,574
267,1318,26,93,549,45,605
268,810,26,93,48,45,598
269,1017,25,87,405,38,462
270,726,25,85,42,38,536
271,1202,25,96,395,45,641
