frame,total_tokens,word_tokens,phn_tokens,model_tokens,wb_tokens,nosym_tokens
0,0,0,0,0,0,0
1,2,0,0,1,0,1
2,234,2,48,56,11,117
3,370,0,42,14,16,298
4,255,0,38,18,12,187
5,363,0,44,31,14,274
6,456,4,52,49,22,329
7,659,4,56,213,26,360
8,1279,4,50,859,23,343
9,1134,4,49,734,22,325
10,1593,4,49,1195,22,323
11,957,4,49,558,22,324
12,1698,4,49,1296,22,327
13,901,4,52,488,22,335
14,1244,4,53,823,23,341
15,1751,5,55,1315,25,351
16,589,8,65,75,31,410
17,766,13,108,74,41,530
18,934,28,141,103,52,610
19,2183,28,286,582,101,1186
20,4833,70,613,1612,195,2343
21,8843,172,949,3454,300,3968
22,9440,96,623,5852,254,2615
23,4428,42,281,2334,131,1640
24,1578,25,170,194,69,1120
25,1486,53,202,196,68,967
26,1700,53,226,361,70,990
27,3132,138,325,805,128,1736
28,5404,260,550,1654,256,2684
29,5403,255,611,1670,269,2598
30,5480,320,559,1781,272,2548
31,8292,531,600,3955,288,2918
32,11735,991,800,5689,360,3895
33,11256,895,860,5099,367,4035
34,11729,813,791,5790,350,3985
35,7021,458,553,3163,281,2566
36,6089,329,500,2766,192,2302
37,5299,299,503,2038,195,2264
38,5388,246,505,1905,246,2486
39,4575,112,302,2339,170,1652
40,3329,30,147,2094,106,952
41,1098,8,59,690,39,302
42,239,13,38,21,20,147
43,492,26,51,21,29,365
44,1003,54,133,20,55,741
45,1441,65,171,104,82,1019
46,1298,37,161,27,68,1005
47,786,26,85,14,40,621
48,630,27,75,12,34,482
49,887,40,113,14,46,674
50,1282,115,161,57,63,886
51,2054,78,218,576,100,1082
52,4900,232,540,1490,212,2426
53,7623,376,667,3110,304,3166
54,7954,374,837,3307,312,3124
55,5089,175,586,1910,225,2193
56,4727,252,641,1266,209,2359
57,4733,197,561,1463,200,2312
58,2880,98,331,774,166,1511
59,2122,63,141,1055,77,786
60,2768,81,124,1722,55,786
61,2707,147,301,927,101,1231
62,4949,168,290,2858,120,1513
63,3925,179,273,2342,87,1044
64,4560,319,576,1551,116,1998
65,8163,568,1061,2439,149,3946
66,5133,167,357,2639,108,1862
67,3010,102,225,1727,62,894
68,2513,81,154,1712,44,522
69,1808,133,246,380,92,957
70,1399,53,209,316,98,723
71,1637,26,187,482,81,861
72,4140,126,458,1497,194,1865
73,5309,254,607,1659,226,2563
74,4648,155,380,2053,175,1885
75,3044,78,283,1444,97,1142
76,3550,154,343,1614,114,1325
77,2280,123,235,800,67,1055
78,2652,98,221,963,70,1300
79,6015,250,525,2507,173,2560
80,9958,679,1049,3871,268,4091
81,14025,621,1042,7781,282,4299
82,8544,649,929,2547,252,4167
83,7972,617,881,2612,222,3640
84,7988,400,665,3940,225,2758
85,3133,165,340,1052,152,1424
86,3471,193,322,1271,164,1521
87,4301,177,307,1982,178,1657
88,5405,86,256,3426,193,1444
89,3660,23,177,2116,176,1168
90,1845,23,158,479,132,1053
91,1838,48,207,251,135,1197
92,2384,89,222,551,137,1385
93,4647,196,303,2183,156,1809
94,3875,381,315,1155,177,1847
95,5377,295,274,2703,177,1928
96,8286,366,395,4580,222,2723
97,8975,395,407,5355,211,2607
98,9203,506,645,4875,218,2959
99,11452,574,1010,5834,261,3773
100,12830,476,1021,6846,274,4213
101,11320,513,1011,5417,279,4100
102,10928,564,995,4959,287,4123
103,6473,301,592,2185,220,3175
104,2808,60,214,693,104,1737
105,625,18,26,116,22,443
106,1294,57,98,315,33,791
107,2615,206,227,710,89,1383
108,2276,147,146,938,69,976
109,3175,208,185,2156,49,577
110,3836,430,528,1428,83,1367
111,4747,364,581,1853,133,1816
112,3180,109,309,1676,105,981
113,1705,77,212,822,61,533
114,1978,106,230,892,56,694
115,2067,82,290,839,72,784
116,2801,61,278,1411,109,942
117,1684,17,173,857,79,558
118,1767,17,136,940,66,608
119,1870,58,267,401,105,1039
120,3307,89,326,910,140,1842
121,4074,32,219,2374,115,1334
122,1350,16,139,454,73,668
123,854,17,60,382,30,365
124,1281,34,85,253,49,860
125,2093,58,154,740,59,1082
126,3312,171,398,762,144,1837
127,4171,141,366,1377,187,2100
128,6204,247,592,2476,230,2659
129,9107,213,585,5289,231,2789
130,10152,241,699,5832,234,3146
131,6013,84,350,3732,147,1700
132,3475,100,197,1807,76,1295
133,2302,92,146,822,78,1164
134,2184,89,203,565,70,1257
135,8287,693,1027,3135,182,3250
136,15476,844,1692,7446,309,5185
137,14789,461,1188,8433,290,4417
138,12500,574,1243,5577,344,4762
139,11977,604,1177,5388,326,4482
140,12300,331,676,8228,234,2831
141,9308,507,980,4757,261,2803
142,9761,614,1178,4442,205,3322
143,16133,940,1608,7775,275,5535
144,17701,839,1570,8813,304,6175
145,14405,642,1376,6660,300,5427
146,11354,627,1162,4183,267,5115
147,12667,457,948,6670,242,4350
148,10546,247,836,5804,230,3429
149,5671,174,533,1808,207,2949
150,5180,92,381,2261,144,2302
151,2572,39,196,524,102,1711
152,1800,41,100,290,57,1312
153,1126,34,51,144,33,864
154,1653,34,43,800,18,758
155,942,34,43,105,18,742
156,1393,34,45,516,20,778
157,1027,38,49,42,27,871
158,1046,34,49,111,27,825
159,1236,34,45,363,20,774
160,1210,34,45,320,20,791
161,1276,35,49,301,26,865
162,2072,35,49,1081,27,880
163,1097,37,49,95,27,889
164,1743,34,49,765,27,868
165,1186,34,49,242,27,834
166,1563,34,46,667,21,795
167,980,34,45,94,20,787
168,2196,35,47,1284,22,808
169,1191,36,49,176,26,904
170,2687,75,132,1198,40,1242
171,1905,62,169,202,68,1404
172,5942,229,625,1944,192,2952
173,11362,396,946,5134,299,4587
174,7588,74,397,4788,205,2124
175,2763,63,322,498,127,1753
176,4396,128,360,1398,148,2362
177,5977,169,361,3063,162,2222
178,5547,130,224,3729,99,1365
179,3108,239,405,938,106,1420
180,2944,227,400,1020,101,1196
181,1854,54,63,1580,15,142
182,435,32,60,198,16,129
183,1023,47,145,350,36,445
184,2475,59,188,1159,72,997
185,2962,89,217,1050,90,1516
186,3165,143,271,949,129,1673
187,4670,226,262,2117,167,1898
188,6071,453,504,2497,210,2407
189,3899,162,444,937,213,2143
190,1198,34,75,399,40,650
191,778,53,106,142,34,443
192,2193,77,318,658,95,1045
193,4359,126,744,1135,200,2154
194,6556,159,846,2009,286,3256
195,6893,184,719,2649,316,3025
196,7962,276,841,3465,326,3054
197,8137,270,795,4410,236,2426
198,9667,322,1206,4363,280,3496
199,11310,430,1376,4018,301,5185
200,8495,155,819,3547,260,3714
201,14245,984,1322,6334,380,5225
202,11974,675,1048,5232,367,4652
203,6961,312,474,3028,212,2935
204,7427,282,264,4490,136,2255
205,3350,176,108,2457,45,564
206,1324,93,137,817,23,254
207,1644,138,180,524,37,765
208,3182,252,386,1243,67,1234
209,6442,329,654,2752,151,2556
210,8874,391,777,3942,223,3541
211,9756,392,915,4117,248,4084
212,18294,829,1225,9505,327,6408
213,22134,1213,1443,12224,393,6861
214,16350,1049,1210,7583,354,6154
215,12072,539,667,6159,254,4453
216,12107,981,897,4974,264,4991
217,12760,1051,999,5856,244,4610
218,10259,271,508,7042,111,2327
219,4880,310,567,1450,126,2427
220,8475,484,901,3341,196,3553
221,8332,453,784,3313,218,3564
222,12315,534,969,6564,239,4009
223,8238,194,600,4641,180,2623
224,5174,197,498,1785,109,2585
225,5390,327,605,1510,108,2840
226,7409,457,795,2450,185,3522
227,7384,254,902,2329,220,3679
228,4501,80,506,1363,176,2376
229,6466,238,785,2032,221,3190
230,7278,263,692,3230,239,2854
231,6149,219,586,2898,227,2219
232,3418,109,336,1436,156,1381
233,2709,74,333,1087,149,1066
234,3622,77,413,1413,184,1535
235,6184,212,693,2120,254,2905
236,4289,166,519,1316,213,2075
237,3074,140,378,777,167,1612
238,4127,211,375,1457,172,1912
239,8223,851,761,3271,271,3069
240,14023,1208,1056,7351,338,4070
241,10813,692,669,5828,277,3347
242,15951,1151,1016,9080,336,4368
243,15137,276,409,11882,168,2402
244,9299,285,410,6291,126,2187
245,2355,102,172,1190,50,841
246,1872,52,67,1369,22,362
247,894,49,127,540,22,156
248,233,49,62,68,6,48
249,405,60,115,94,26,110
250,558,74,131,180,31,142
251,1403,142,211,317,93,640
252,3763,177,481,1177,178,1750
253,4708,95,479,1429,256,2449
254,3480,43,364,740,255,2078
255,4092,31,288,1860,193,1720
256,3129,33,132,1618,78,1268
257,2036,50,132,710,64,1080
258,1937,34,110,909,50,834
259,1971,26,50,1323,30,542
260,640,25,45,48,24,498
261,1151,22,45,590,21,473
262,854,26,46,209,24,549
263,718,28,49,18,32,591
264,680,25,47,48,26,534
265,1060,25,46,464,25,500
266,1754,25,45,1163,24,497
267,1549,25,45,930,24,525
268,992,25,46,379,25,517
269,500,26,43,9,22,400
270,526,26,40,10,20,430
271,616,24,46,14,23,509
