frame,total_tokens,word_tokens,phn_tokens,model_tokens,wb_tokens,nosym_tokens
0,0,0,0,0,0,0
1,2,0,0,1,0,1
2,247,2,61,56,13,115
3,415,0,63,14,26,312
4,274,0,51,18,14,191
5,399,0,63,31,22,283
6,510,5,75,50,35,345
7,551,5,79,50,39,378
8,554,5,73,81,36,359
9,920,5,72,467,35,341
10,530,5,72,82,35,336
11,1120,5,72,668,35,340
12,2158,5,72,1702,35,344
13,1982,5,76,1513,36,352
14,554,5,76,80,36,357
15,951,6,78,460,38,369
16,1634,10,97,1036,51,440
17,881,15,167,79,64,556
18,1047,30,212,102,81,622
19,2147,29,404,388,145,1181
20,5057,73,753,1599,239,2393
21,8519,179,1099,3036,359,3846
22,5186,101,779,1407,321,2578
23,4538,42,431,2166,186,1713
24,1783,27,288,253,106,1109
25,1760,55,321,303,107,974
26,2085,54,347,625,116,943
27,3990,158,478,1344,189,1821
28,5830,279,767,1594,342,2848
29,6837,224,788,2784,356,2685
30,5695,329,762,1723,352,2529
31,7751,549,783,3054,396,2969
32,13779,1084,1011,7182,470,4032
33,14277,953,1043,7664,465,4152
34,11915,840,1002,5574,462,4037
35,7377,465,738,3144,376,2654
36,6041,337,638,2516,259,2291
37,5719,313,633,2276,260,2237
38,6282,255,663,2625,326,2413
39,5498,115,438,3040,237,1668
40,2930,27,263,1492,155,993
41,1764,9,93,1273,53,336
42,481,12,52,249,22,146
43,1020,27,77,475,42,399
44,1189,55,203,61,80,790
45,1895,70,251,379,119,1076
46,1952,39,246,468,105,1094
47,1158,26,128,290,65,649
48,721,27,101,51,49,493
49,1509,41,172,543,68,685
50,3160,119,228,1774,88,951
51,3090,80,322,1364,142,1182
52,5790,240,715,1964,280,2591
53,8654,384,812,3793,373,3292
54,9791,375,969,4926,398,3123
55,7341,183,711,3857,298,2292
56,5339,256,768,1617,280,2418
57,5164,198,666,1711,277,2312
58,3537,105,425,1200,233,1574
59,3665,63,215,2444,128,815
60,2576,83,183,1373,99,838
61,2686,148,400,715,145,1278
62,4419,169,389,2097,169,1595
63,6410,178,322,4697,115,1098
64,5449,319,648,2264,153,2065
65,8493,561,1209,2597,208,3918
66,5603,167,440,2996,152,1848
67,3242,102,267,1908,82,883
68,2166,81,173,1346,50,516
69,2016,135,340,426,131,984
70,1478,55,292,263,145,723
71,2120,27,300,712,139,942
72,4846,132,641,1885,273,1915
73,5540,268,750,1559,321,2642
74,5028,165,471,2287,259,1846
75,3331,104,356,1527,160,1184
76,3264,213,431,1047,180,1393
77,2580,210,337,764,125,1144
78,1800,96,207,424,89,984
79,2804,59,140,1522,68,1015
80,3551,178,372,1195,143,1663
81,9200,947,791,4182,264,3016
82,10996,788,780,6045,307,3076
83,9805,904,879,4658,324,3040
84,8998,513,741,4818,310,2616
85,4153,196,414,1746,237,1560
86,3697,212,408,1268,245,1564
87,4351,197,386,1817,247,1704
88,5581,92,352,3385,258,1494
89,2599,24,291,794,242,1248
90,3601,22,291,1847,207,1234
91,2848,51,340,844,211,1402
92,2756,95,350,556,202,1553
93,3977,211,452,1241,203,1870
94,5479,438,460,2424,231,1926
95,6300,325,441,3128,243,2163
96,9164,373,577,5047,302,2865
97,9283,423,589,5215,294,2762
98,9424,523,835,4652,308,3106
99,12827,576,1208,6921,364,3758
100,11079,477,1231,4878,375,4118
101,11815,528,1213,5656,390,4028
102,13154,587,1195,6855,401,4116
103,7522,309,780,2921,318,3194
104,2531,59,295,357,151,1669
105,741,17,27,257,26,414
106,1654,39,61,799,39,716
107,2102,156,100,593,56,1197
108,3194,328,212,1165,118,1371
109,2659,263,224,1186,85,901
110,4757,501,565,1991,122,1578
111,5061,419,660,1899,179,1904
112,2848,144,399,1083,141,1081
113,2408,96,281,1265,93,673
114,1643,117,283,441,79,723
115,3477,86,341,2129,102,819
116,2375,70,296,983,131,895
117,1742,18,205,847,96,576
118,1910,18,191,978,106,617
119,2290,58,369,619,150,1094
120,4251,91,463,1641,189,1867
121,5168,32,339,3217,168,1412
122,1709,16,214,635,108,736
123,865,18,76,369,36,366
124,1341,35,128,237,69,872
125,1967,60,222,482,87,1116
126,5219,179,531,2361,204,1944
127,5740,149,510,2649,251,2181
128,7805,260,767,3684,306,2788
129,10473,222,748,6349,315,2839
130,9506,248,897,4905,320,3136
131,3028,83,480,531,196,1738
132,3316,108,296,1474,124,1314
133,2601,120,250,947,127,1157
134,3095,142,320,1147,120,1366
135,4510,261,570,1395,205,2079
136,8703,470,1015,3783,311,3124
137,14353,702,1364,7434,406,4447
138,16259,755,1474,8550,514,4966
139,13317,664,1264,6363,477,4549
140,12720,390,836,8049,343,3102
141,10145,558,1155,5074,356,3002
142,9904,679,1357,4027,312,3529
143,15622,1042,1796,7132,415,5237
144,16110,933,1791,7126,448,5812
145,17033,716,1556,9009,401,5351
146,15116,712,1320,7698,364,5022
147,11536,519,1109,5315,320,4273
148,9525,292,961,4580,307,3385
149,8298,198,663,4254,277,2906
150,4488,100,480,1419,205,2284
151,3924,41,278,1732,164,1709
152,2947,42,142,1330,82,1351
153,1232,34,79,191,49,879
154,1412,34,66,526,30,756
155,1106,34,66,241,30,735
156,1201,34,69,288,33,777
157,2402,38,76,1363,43,882
158,1839,34,76,862,43,824
159,1215,34,69,305,33,774
160,1814,34,69,889,33,789
161,1151,35,74,139,40,863
162,2275,35,79,1239,45,877
163,1142,37,77,96,44,888
164,1896,34,77,876,44,865
165,1069,34,73,94,40,828
166,1727,34,70,793,34,796
167,1319,34,69,396,33,787
168,1293,36,71,341,35,810
169,1101,36,78,51,44,892
170,2425,76,192,861,63,1233
171,5337,64,235,3502,95,1441
172,6154,242,774,1935,243,2960
173,11231,430,1145,4755,359,4542
174,5419,77,507,2467,244,2124
175,5775,64,451,3132,199,1929
176,5186,126,496,1801,226,2537
177,5062,167,493,1832,231,2339
178,4418,131,290,2479,133,1385
179,3491,235,487,1074,160,1535
180,4119,230,477,1885,154,1373
181,2535,50,102,2201,20,162
182,550,32,67,272,26,153
183,966,48,184,264,50,420
184,1962,59,255,557,97,994
185,3359,90,295,1298,132,1544
186,3573,154,372,1135,184,1728
187,4271,246,414,1406,223,1982
188,5475,243,559,2337,255,2081
189,4221,101,560,1149,273,2138
190,1621,37,119,567,72,826
191,872,49,126,170,46,481
192,2238,80,366,609,121,1062
193,4800,142,892,1364,283,2119
194,6494,176,948,1892,377,3101
195,6081,223,810,1841,393,2814
196,4992,224,716,1571,342,2139
197,7184,325,850,3217,313,2479
198,11769,367,1361,6274,376,3391
199,11744,480,1489,4343,403,5029
200,12028,171,895,7007,335,3620
201,15619,1080,1513,7176,481,5369
202,14109,717,1269,7066,467,4590
203,8582,319,649,4325,280,3009
204,7920,268,375,4779,196,2302
205,4877,174,184,3771,82,666
206,1003,89,139,541,30,204
207,1924,143,195,697,45,844
208,3373,263,439,1377,101,1193
209,6163,344,775,2352,219,2473
210,8458,410,920,3392,298,3438
211,10261,406,1058,4290,361,4146
212,17201,846,1435,8306,465,6149
213,21583,1232,1661,11526,514,6650
214,19177,1032,1424,10186,481,6054
215,10225,544,843,3937,346,4555
216,12819,981,1051,5371,363,5053
217,13426,962,1107,6456,327,4574
218,6678,256,604,3318,162,2338
219,5226,311,700,1649,191,2375
220,8705,483,1076,3396,288,3462
221,8856,447,978,3539,308,3584
222,14419,522,1163,8271,357,4106
223,5863,187,755,2021,249,2651
224,5893,197,615,2291,160,2630
225,5777,327,725,1639,159,2927
226,8217,472,959,2942,257,3587
227,7824,284,1091,2474,301,3674
228,4784,82,678,1446,237,2341
229,6974,241,946,2285,323,3179
230,9480,262,862,5099,327,2930
231,8272,222,734,4736,297,2283
232,4046,111,452,1816,232,1435
233,2574,79,476,717,235,1067
234,4571,95,526,1993,279,1678
235,7632,257,856,3098,376,3045
236,5102,184,673,1676,304,2265
237,3314,146,459,810,224,1675
238,4164,213,489,1353,226,1883
239,8798,854,923,3515,347,3159
240,13602,1208,1245,6562,417,4170
241,10634,702,838,5440,344,3310
242,14267,1172,1229,7057,434,4375
243,15261,268,552,11691,233,2517
244,8765,289,504,5608,179,2185
245,2080,117,217,805,67,874
246,1676,53,106,1104,40,373
247,1055,50,134,682,24,165
248,262,49,78,80,6,49
249,461,60,136,116,37,112
250,659,74,151,224,44,166
251,1577,145,258,379,141,654
252,4127,184,588,1303,255,1797
253,5080,94,609,1579,332,2466
254,5992,43,485,2962,356,2146
255,5650,32,433,3011,287,1887
256,3252,38,216,1484,117,1397
257,1603,52,227,48,94,1182
258,1232,35,185,57,79,876
259,1056,26,76,338,44,572
260,747,29,70,95,38,515
261,1625,26,73,932,38,556
262,795,30,77,15,43,630
263,859,31,84,18,54,672
264,816,29,77,47,44,619
265,1293,29,75,574,42,573
266,826,29,74,112,42,569
267,1751,29,75,995,42,610
268,791,29,75,48,42,597
269,1314,29,67,710,35,473
270,637,26,66,6,31,508
271,741,28,75,7,40,591
