frame,total_tokens,word_tokens,phn_tokens,model_tokens,wb_tokens,nosym_tokens
0,0,0,0,0,0,0
1,2,0,0,1,0,1
2,247,2,61,56,13,115
3,415,0,63,14,26,312
4,274,0,51,18,14,191
5,399,0,63,31,22,283
6,510,5,75,50,35,345
7,551,5,79,50,39,378
8,554,5,73,81,36,359
9,921,5,72,468,35,341
10,489,5,72,41,35,336
11,492,5,72,41,35,339
12,496,5,72,42,35,342
13,513,5,75,46,35,352
14,520,5,76,46,36,357
15,543,6,78,52,38,369
16,698,10,94,110,55,429
17,1211,15,170,400,70,556
18,2185,30,215,1226,88,626
19,3342,29,410,1566,153,1184
20,5533,73,765,2035,258,2402
21,9867,179,1113,4299,392,3884
22,10899,99,793,7005,349,2653
23,4891,44,441,2474,200,1732
24,2307,26,294,771,111,1105
25,2147,54,329,678,113,973
26,2503,53,355,1077,123,895
27,3479,150,478,892,199,1760
28,6316,287,797,2076,360,2796
29,7647,243,811,3424,372,2797
30,6531,335,802,2294,384,2716
31,9682,549,837,4602,427,3267
32,12503,1084,1058,5643,498,4220
33,13023,957,1046,6231,480,4309
34,12081,846,971,5793,463,4008
35,9219,468,735,4954,372,2690
36,6370,338,647,2816,265,2304
37,5889,313,649,2352,270,2305
38,5927,256,681,2174,336,2480
39,6163,114,460,3633,264,1692
40,4365,28,276,2875,168,1018
41,1227,9,93,743,53,329
42,409,13,51,175,24,146
43,599,27,73,72,41,386
44,1688,55,206,557,87,783
45,2898,70,263,1357,128,1080
46,1594,39,255,93,114,1093
47,1354,26,130,482,72,644
48,687,27,101,17,49,493
49,998,41,173,25,74,685
50,1463,119,232,91,93,928
51,2370,79,316,676,147,1152
52,5604,240,705,1797,298,2564
53,8580,384,828,3687,399,3282
54,8907,375,1001,3906,428,3197
55,6530,180,724,2967,319,2340
56,5425,259,781,1638,295,2452
57,5235,199,680,1721,287,2348
58,5160,100,448,2693,247,1672
59,3955,63,226,2689,135,842
60,2687,83,191,1460,107,846
61,2929,148,404,936,151,1290
62,4843,168,402,2438,180,1655
63,6105,178,321,4399,114,1093
64,7124,317,651,3919,155,2082
65,10094,562,1225,4154,218,3935
66,6402,167,478,3688,161,1908
67,1740,105,270,453,77,835
68,2148,81,174,1324,51,518
69,2572,135,353,901,141,1042
70,1766,55,300,559,147,705
71,1739,26,308,358,149,898
72,4206,135,635,1189,273,1974
73,5305,262,768,1296,332,2647
74,5195,172,480,2431,267,1845
75,2315,89,360,617,161,1088
76,3171,210,421,996,185,1359
77,2827,209,359,919,140,1200
78,1908,85,216,487,97,1023
79,1635,54,120,341,70,1050
80,3385,167,275,1169,112,1662
81,8371,898,624,3949,225,2675
82,8361,708,655,4011,312,2675
83,11599,808,759,6964,308,2760
84,6818,547,673,2789,305,2504
85,7307,377,571,3939,300,2120
86,7713,322,654,4194,323,2220
87,7039,428,861,2254,404,3092
88,8180,364,857,3171,392,3396
89,12044,285,710,7255,385,3409
90,11234,339,790,5994,384,3727
91,9622,504,946,3435,399,4338
92,7991,503,785,2457,367,3879
93,8235,472,786,3201,307,3469
94,7955,564,761,2932,334,3364
95,9312,504,744,4362,313,3389
96,15225,691,960,8937,347,4290
97,12306,865,944,5980,377,4140
98,15531,1081,1248,8363,367,4472
99,18973,1172,1767,10260,403,5371
100,19816,1003,1714,10926,427,5746
101,16100,732,1292,9184,394,4498
102,9950,554,956,4244,357,3839
103,6652,231,701,2364,268,3088
104,2691,62,285,473,130,1741
105,1971,22,23,1436,27,463
106,995,21,95,149,37,693
107,2942,258,293,673,116,1602
108,2465,188,150,1092,80,955
109,2734,238,162,1753,53,528
110,3400,430,595,1021,103,1251
111,4589,395,640,1614,182,1758
112,3158,140,406,1437,144,1031
113,2352,101,282,1243,95,631
114,2710,119,284,1496,85,726
115,2839,94,348,1450,101,846
116,2717,69,299,1348,127,874
117,1708,21,193,831,94,569
118,1887,20,188,975,105,599
119,2344,61,357,724,152,1050
120,3589,94,476,973,205,1841
121,2839,35,339,887,181,1397
122,1538,16,220,456,113,733
123,1495,18,78,959,40,400
124,1421,35,128,315,71,872
125,2236,59,236,757,97,1087
126,4130,177,546,1230,221,1956
127,6748,149,531,3542,282,2244
128,8536,257,775,4314,338,2852
129,9367,218,760,5110,351,2928
130,9614,243,904,4893,351,3223
131,5429,88,502,2743,227,1869
132,2292,108,300,449,131,1304
133,3303,118,260,1661,135,1129
134,2904,144,339,912,130,1379
135,4697,284,597,1456,220,2140
136,8981,342,826,4642,295,2876
137,14029,897,1370,6671,433,4658
138,16688,868,1519,8569,541,5191
139,13222,659,1253,6225,486,4599
140,7099,500,848,2193,353,3205
141,8921,655,1175,3620,368,3103
142,12980,817,1355,6808,324,3676
143,15685,1297,1775,6822,420,5371
144,16078,592,1423,9084,403,4576
145,8540,433,1080,2924,312,3791
146,11184,537,1065,5051,301,4230
147,13050,619,1122,6616,335,4358
148,9363,349,970,4297,322,3425
149,9336,246,675,5203,287,2925
150,5678,126,486,2559,216,2291
151,3477,45,294,1220,174,1744
152,2736,42,147,1100,89,1358
153,3143,34,80,2086,55,888
154,1176,34,66,291,30,755
155,1114,34,66,246,30,738
156,1759,34,69,846,33,777
157,1051,38,75,24,42,872
158,1029,34,76,52,43,824
159,1461,34,69,551,33,774
160,1016,34,69,91,33,789
161,1876,35,74,864,40,863
162,1130,35,77,97,47,874
163,1973,37,79,919,48,890
164,1078,34,77,56,47,864
165,1565,34,73,590,40,828
166,1046,34,70,112,34,796
167,1493,35,69,565,33,791
168,2229,36,71,1276,35,811
169,1169,36,78,116,47,892
170,2396,76,198,817,69,1236
171,2382,64,243,538,100,1437
172,7164,242,788,2831,271,3032
173,13952,434,1162,7290,401,4665
174,9956,77,539,6763,284,2293
175,5452,63,450,2808,199,1932
176,4232,128,489,871,229,2515
177,4260,170,475,1070,232,2313
178,3322,133,273,1419,134,1363
179,4974,232,472,2553,154,1563
180,4371,224,492,2105,152,1398
181,829,54,63,569,16,127
182,547,30,68,292,24,133
183,971,48,187,249,53,434
184,2416,59,254,1020,98,985
185,3015,90,308,906,144,1567
186,4637,155,407,2045,197,1833
187,4804,243,435,1800,248,2078
188,5862,247,575,2547,284,2209
189,4271,101,569,1152,287,2162
190,1722,40,123,650,78,831
191,1015,49,185,151,53,577
192,2820,91,482,875,162,1210
193,5333,174,953,1475,313,2418
194,7875,266,1167,2573,425,3444
195,8024,340,1012,2694,464,3514
196,6139,277,852,1966,394,2650
197,8217,382,945,3717,357,2816
198,11709,418,1407,5843,414,3627
199,12198,555,1533,4605,436,5069
200,12447,188,946,7285,350,3678
201,16000,1124,1550,7253,508,5565
202,15166,729,1286,7978,480,4693
203,8118,323,656,3848,295,2996
204,7837,270,392,4695,205,2275
205,3468,164,185,2430,76,613
206,886,75,146,347,35,283
207,1996,140,200,657,48,951
208,3119,260,449,1064,105,1241
209,9746,344,788,5866,227,2521
210,8165,409,938,3046,306,3466
211,9898,411,1089,3821,377,4200
212,17133,849,1473,8138,483,6190
213,24061,1232,1685,13868,529,6747
214,20398,1032,1456,11326,497,6087
215,10118,544,868,3681,362,4663
216,13056,980,1076,5485,381,5134
217,13121,955,1126,6063,343,4634
218,7745,269,628,4234,177,2437
219,5297,313,705,1683,190,2406
220,8339,488,1098,2968,298,3487
221,8844,455,999,3436,323,3631
222,11810,535,1194,5493,379,4209
223,9214,194,764,5316,262,2678
224,5235,205,609,1687,163,2571
225,5705,326,735,1565,164,2915
226,8196,474,975,2883,265,3599
227,7989,284,1120,2508,314,3763
228,5242,82,706,1691,261,2502
229,7710,240,987,2831,365,3287
230,9173,262,882,4705,354,2970
231,7175,221,748,3599,309,2298
232,4994,107,473,2693,242,1479
233,3684,78,492,1742,238,1134
234,4235,94,541,1663,284,1653
235,6925,237,874,2354,385,3075
236,5277,181,673,1840,309,2274
237,3363,140,456,886,231,1650
238,4189,211,500,1389,234,1855
239,8749,851,932,3447,366,3153
240,15115,1201,1275,7979,441,4219
241,11188,700,856,5880,361,3391
242,16664,1176,1249,9291,475,4473
243,13969,271,584,10263,258,2593
244,8083,296,553,4747,199,2288
245,2401,106,202,1158,69,866
246,2155,67,114,1506,47,421
247,1505,49,160,1074,37,185
248,926,49,80,730,6,61
249,547,60,136,200,37,114
250,693,74,151,262,44,162
251,1605,145,267,386,146,661
252,4160,184,603,1303,264,1806
253,6550,94,635,2984,342,2495
254,6432,43,515,3296,370,2208
255,3382,32,463,658,297,1932
256,3290,38,232,1415,127,1478
257,3192,52,235,1609,103,1193
258,1266,35,190,78,87,876
259,1045,26,76,327,44,572
260,1160,26,70,509,38,517
261,1103,23,70,478,35,497
262,1309,27,72,605,39,566
263,1075,28,79,309,53,606
264,1718,26,72,1023,43,554
265,1553,26,71,901,39,516
266,748,26,70,104,38,510
267,1544,26,70,870,38,540
268,1786,26,71,1118,39,532
269,635,26,64,85,32,428
270,1417,26,61,847,30,453
271,677,25,70,14,35,533
