frame,total,word,phoneme,model,wb,nosym,inc,incword,incphn,incmodel,incother
121,906,68,129,448,18,243,10,0,3,4,3
122,274,13,25,145,13,78,12,0,3,5,4
123,163,10,25,71,10,47,18,0,5,7,6
124,547,104,50,215,8,170,2,0,0,2,0
125,2240,378,409,793,14,646,6,0,2,2,2
126,4627,566,976,1719,19,1347,8,0,2,3,3
127,4720,463,887,2002,31,1337,34,0,9,11,14
128,2685,232,419,1211,27,796,42,0,16,12,14
129,2315,271,418,950,21,655,29,0,9,10,10
130,2776,291,477,1162,31,815,57,0,15,21,21
131,2474,220,382,1139,38,695,79,0,22,29,28
132,1188,132,207,490,42,317,86,0,22,32,32
133,1283,245,202,457,30,349,60,0,22,18,20
134,1146,104,225,448,21,348,29,0,7,11,11
135,1019,58,215,446,23,277,35,0,8,14,13
136,1168,49,251,494,32,342,55,0,12,22,21
137,1380,75,252,477,12,564,6,0,2,1,3
138,1061,54,157,397,17,436,12,0,4,2,6
139,648,52,74,195,13,314,7,0,2,2,3
140,305,33,28,65,13,166,6,0,2,1,3
141,143,22,7,17,4,93,6,0,2,1,3
142,148,24,6,16,5,97,6,0,2,1,3
143,118,22,2,9,4,81,6,0,2,1,3
144,117,22,3,9,4,79,6,0,2,1,3
145,149,24,6,9,5,105,6,0,2,1,3
146,150,25,6,9,5,105,6,0,2,1,3
147,155,25,7,9,5,109,6,0,2,1,3
148,248,42,28,9,7,162,6,0,2,1,3
149,314,42,54,17,8,193,4,0,2,0,2
150,985,72,166,326,18,403,16,0,9,0,7
151,1681,79,215,801,25,561,49,0,34,2,13
152,3673,217,565,1489,40,1362,40,0,15,8,17
153,3919,233,644,1584,26,1432,15,0,6,2,7
154,2250,159,471,802,30,788,42,0,17,10,15
155,1807,124,296,735,26,626,26,0,4,10,12
156,1685,61,135,1151,32,306,57,0,13,22,22
157,4433,509,592,2265,32,1035,62,0,18,23,21
158,14505,1277,1742,7973,43,3470,45,0,10,19,16
159,14917,1033,1814,8434,48,3588,27,0,5,11,11
160,11524,780,1505,6495,42,2702,23,0,3,10,10
161,5036,287,777,2778,32,1162,32,0,4,15,13
162,2494,155,323,1411,21,584,7,0,0,4,3
163,4365,351,557,2536,26,895,11,0,0,8,3
164,9368,867,956,5681,30,1834,12,0,0,10,2
165,13521,1255,1298,8380,36,2552,12,0,0,10,2
166,4602,540,442,2671,13,936,4,0,0,4,0
167,5206,727,513,2869,13,1084,3,0,0,3,0
168,5431,484,514,3458,16,959,15,0,0,11,4
169,7192,629,839,4085,17,1622,5,0,0,5,0
170,5873,555,601,3448,14,1255,2,0,0,2,0
171,3792,379,446,2202,13,752,4,0,0,4,0
172,1954,273,261,1109,13,298,2,0,0,2,0
173,1295,151,235,675,10,224,3,0,0,3,0
174,922,86,146,453,15,222,1,0,0,1,0
