frame,total_tokens,word_tokens,phn_tokens,model_tokens,wb_tokens,nosym_tokens
0,0,0,0,0,0,0
1,2,0,0,1,0,1
2,255,3,68,56,16,112
3,451,0,70,14,29,338
4,289,0,58,18,17,196
5,432,0,70,31,25,306
6,549,6,82,51,39,371
7,593,6,86,51,43,407
8,596,6,80,83,40,387
9,1106,6,79,614,39,368
10,1752,6,79,1262,39,366
11,1068,6,79,579,39,365
12,571,6,79,77,39,370
13,1279,6,83,770,40,380
14,1752,6,83,1236,40,387
15,1030,7,85,498,42,398
16,1802,12,104,1150,62,474
17,975,17,178,87,78,615
18,1148,33,224,113,96,682
19,2375,30,438,517,164,1226
20,5110,75,808,1488,288,2451
21,8932,183,1170,3290,437,3852
22,5488,101,835,1520,387,2645
23,5052,42,478,2563,207,1762
24,1856,26,312,225,122,1171
25,1946,57,350,395,124,1020
26,2444,57,387,883,139,978
27,3659,164,510,930,216,1839
28,6721,336,844,2364,386,2791
29,8006,273,858,3553,403,2919
30,6267,329,845,1868,406,2819
31,8979,548,869,3826,455,3281
32,13513,1088,1096,6496,526,4307
33,13977,954,1112,7021,512,4378
34,13493,844,1032,7018,486,4113
35,9233,467,773,4849,387,2757
36,6355,346,687,2597,284,2441
37,6156,319,703,2409,287,2438
38,6171,258,731,2224,349,2609
39,5927,116,496,3227,268,1820
40,3524,28,297,1908,174,1117
41,889,10,95,377,57,350
42,1226,16,59,970,31,150
43,614,26,84,35,48,421
44,1281,57,212,67,93,852
45,1888,75,275,258,141,1139
46,2036,41,274,440,125,1156
47,1211,26,139,266,80,700
48,1976,28,109,1258,55,526
49,1122,43,182,100,82,715
50,2154,124,243,737,102,948
51,4208,81,349,2381,168,1229
52,6362,243,769,2274,339,2737
53,9524,389,871,4398,440,3426
54,11519,378,1023,6355,472,3291
55,7238,181,743,3585,340,2389
56,5622,260,820,1692,322,2528
57,5341,203,716,1697,313,2412
58,4550,105,478,1952,274,1741
59,4111,62,243,2736,160,910
60,2815,85,214,1465,125,926
61,3569,148,419,1405,175,1422
62,6017,168,421,3545,209,1674
63,4559,177,337,2819,123,1103
64,7353,317,692,4047,167,2130
65,8270,564,1281,2232,229,3964
66,4976,169,464,2328,168,1847
67,3304,106,287,1876,93,942
68,2704,80,184,1836,58,546
69,2083,138,370,409,149,1017
70,3201,57,320,1900,161,763
71,2388,26,337,828,169,1028
72,4749,131,710,1468,322,2118
73,6326,257,825,2091,385,2768
74,4679,173,499,1854,290,1863
75,3153,97,377,1282,185,1212
76,3289,210,446,1017,198,1418
77,2907,210,379,927,148,1243
78,1999,85,224,513,100,1077
79,1483,53,120,206,69,1035
80,3315,166,284,1038,115,1712
81,8656,894,652,4113,233,2764
82,8270,706,704,3796,331,2733
83,9436,802,804,4692,340,2798
84,9205,550,725,4977,349,2604
85,8540,388,614,5063,329,2146
86,8092,321,700,4411,357,2303
87,7372,431,919,2376,435,3211
88,8889,371,911,3661,427,3519
89,12494,289,759,7483,412,3551
90,8540,345,820,3095,409,3871
91,11186,513,985,4719,427,4542
92,8393,506,812,2677,398,4000
93,8136,477,814,3012,330,3503
94,7994,567,809,2845,367,3406
95,10634,511,768,5570,338,3447
96,14429,693,986,7971,377,4402
97,15892,850,993,9426,412,4211
98,17855,1066,1280,10506,404,4599
99,20032,1194,1807,11173,442,5416
100,24657,1019,1778,15664,462,5734
101,12806,744,1341,5738,434,4549
102,8970,574,981,3141,395,3879
103,8557,233,728,4172,289,3135
104,2945,62,295,672,140,1776
105,1015,16,21,533,27,418
106,754,16,51,57,33,597
107,2150,201,112,420,66,1351
108,3472,221,121,1994,66,1070
109,1962,164,70,1132,39,557
110,1565,330,54,546,27,608
111,1330,248,53,553,26,450
112,328,67,8,124,9,120
113,255,32,0,200,1,22
114,58,24,0,32,1,1
115,39,18,0,21,0,0
116,19,11,0,8,0,0
117,7,4,0,3,0,0
118,6,3,0,3,0,0
119,5,3,0,2,0,0
120,6,3,0,3,0,0
121,6,3,0,3,0,0
122,6,3,0,3,0,0
123,6,3,0,3,0,0
124,6,3,0,3,0,0
125,6,3,0,3,0,0
126,6,3,0,3,0,0
127,7,4,0,3,0,0
128,7,4,0,3,0,0
129,7,4,0,3,0,0
130,7,4,0,3,0,0
131,7,4,0,3,0,0
132,7,4,0,3,0,0
133,7,4,0,3,0,0
134,7,4,0,3,0,0
135,7,4,0,3,0,0
136,7,4,0,3,0,0
137,7,4,0,3,0,0
138,7,4,0,3,0,0
139,7,4,0,3,0,0
140,7,4,0,3,0,0
141,7,4,0,3,0,0
142,7,4,0,3,0,0
143,7,4,0,3,0,0
144,7,4,0,3,0,0
145,6,3,0,3,0,0
146,6,3,0,3,0,0
147,6,3,0,3,0,0
148,6,3,0,3,0,0
149,6,3,0,3,0,0
150,6,3,0,3,0,0
151,6,3,0,3,0,0
152,6,3,0,3,0,0
153,6,3,0,3,0,0
154,6,3,0,3,0,0
155,6,3,0,3,0,0
156,6,3,0,3,0,0
157,6,3,0,3,0,0
158,6,3,0,3,0,0
159,6,3,0,3,0,0
160,6,3,0,3,0,0
161,6,3,0,3,0,0
162,6,3,0,3,0,0
163,6,3,0,3,0,0
164,6,3,0,3,0,0
165,6,3,0,3,0,0
166,6,3,0,3,0,0
167,6,3,0,3,0,0
168,6,3,0,3,0,0
169,6,3,0,3,0,0
170,6,3,0,3,0,0
171,7,4,0,3,0,0
172,7,4,0,3,0,0
173,6,3,0,3,0,0
174,6,3,0,3,0,0
175,6,3,0,3,0,0
176,6,3,0,3,0,0
177,6,3,0,3,0,0
178,5,3,0,2,0,0
179,6,3,0,3,0,0
180,6,3,0,3,0,0
181,6,3,0,3,0,0
182,6,3,0,3,0,0
183,6,3,0,3,0,0
184,6,3,0,3,0,0
185,7,4,0,3,0,0
186,7,4,0,3,0,0
187,7,4,0,3,0,0
188,7,4,0,3,0,0
189,7,4,0,3,0,0
190,7,4,0,3,0,0
191,7,4,0,3,0,0
192,7,4,0,3,0,0
193,7,4,0,3,0,0
194,7,4,0,3,0,0
195,7,4,0,3,0,0
196,7,4,0,3,0,0
197,7,4,0,3,0,0
198,7,4,0,3,0,0
199,7,4,0,3,0,0
200,7,4,0,3,0,0
201,7,4,0,3,0,0
202,7,4,0,3,0,0
203,7,4,0,3,0,0
204,7,4,0,3,0,0
205,7,4,0,3,0,0
206,7,4,0,3,0,0
207,7,4,0,3,0,0
208,7,4,0,3,0,0
209,7,4,0,3,0,0
210,7,4,0,3,0,0
211,7,4,0,3,0,0
212,7,4,0,3,0,0
213,7,4,0,3,0,0
214,7,4,0,3,0,0
215,7,4,0,3,0,0
216,7,4,0,3,0,0
217,7,4,0,3,0,0
218,7,4,0,3,0,0
219,7,4,0,3,0,0
220,7,4,0,3,0,0
221,7,4,0,3,0,0
222,7,4,0,3,0,0
223,7,4,0,3,0,0
224,7,4,0,3,0,0
225,7,4,0,3,0,0
226,7,4,0,3,0,0
227,7,4,0,3,0,0
228,7,4,0,3,0,0
229,7,4,0,3,0,0
230,7,4,0,3,0,0
231,7,4,0,3,0,0
232,7,4,0,3,0,0
233,7,4,0,3,0,0
234,7,4,0,3,0,0
235,7,4,0,3,0,0
236,7,4,0,3,0,0
237,7,4,0,3,0,0
238,7,4,0,3,0,0
239,7,4,0,3,0,0
240,7,4,0,3,0,0
241,7,4,0,3,0,0
242,7,4,0,3,0,0
243,7,4,0,3,0,0
244,7,4,0,3,0,0
245,7,4,0,3,0,0
246,7,4,0,3,0,0
247,7,4,0,3,0,0
248,7,4,0,3,0,0
249,7,4,0,3,0,0
250,7,4,0,3,0,0
251,7,4,0,3,0,0
252,7,4,0,3,0,0
253,7,4,0,3,0,0
254,7,4,0,3,0,0
255,7,4,0,3,0,0
256,7,4,0,3,0,0
257,7,4,0,3,0,0
258,7,4,0,3,0,0
259,7,4,0,3,0,0
260,7,4,0,3,0,0
261,7,4,0,3,0,0
262,7,4,0,3,0,0
263,7,4,0,3,0,0
264,7,4,0,3,0,0
265,7,4,0,3,0,0
266,7,4,0,3,0,0
267,7,4,0,3,0,0
268,7,4,0,3,0,0
269,7,4,0,3,0,0
270,7,4,0,3,0,0
271,7,4,0,3,0,0
